feature,importance
ImageData.q1q6.Mean,0.21606478952272634
zhvi_value,0.21236492619783232
Structure.LivingArea,0.20514716576239622
Structure.FireplacesTotal,0.12835807237226374
ImageData.c1c6.Mean,0.05763602288952585
Structure.GarageSpaces,0.04930202313985754
ImageData.style.stories.summary.label,0.039098032435414286
Structure.Basement,0.023747335173298603
landscaped_Flag,0.010166479852223432
cooling_heating,0.009518641563574692
View.City_Flag,0.008823277994310463
View.Skyline_Flag,0.005273215516036244
Month,0.003167053907983243
View.Water_Flag,0.002739122142657176
mature trees_Flag,0.0024707785905781084
common grounds_Flag,0.0022216297889593815
cul-de-sac_Flag,0.002167642332027511
View.TreesWoods_Flag,0.002159491143585474
AssociationAmenities.Laundry_Flag,0.0015220664722630408
CommunityFeatures.FitnessCenter_Flag,0.0014179647499775532
AssociationAmenities.Barbecue_Flag,0.001319139703723412
AssociationAmenities.FitnessCenter_Flag,0.0012792529969899897
fenced yard_Flag,0.0011210404155488215
AssociationAmenities.IndoorPool_Flag,0.0009663237781074633
View.Forest_Flag,0.0009375587271788512
wooded_Flag,0.0009263214180136942
PoolFeatures.Indoor_Flag,0.0009210345226204846
CommunityFeatures.Suburban_Flag,0.0007933086575306588
PoolFeatures.InGround_Flag,0.0007662073671303096
AssociationAmenities.GameRoom_Flag,0.0006713382574820948
CommunityFeatures.Pool_Flag,0.0006322943307089291
outdoor lighting_Flag,0.0006043565122714788
PoolFeatures.Association_Flag,0.0005053174163849812
WaterfrontFeatures.Pond_Flag,0.00048694034944027055
PoolFeatures.OutdoorPool_Flag,0.00043228577187051734
PoolFeatures.Community_Flag,0.0004138179320971811
water view_Flag,0.00040643689482548664
AssociationAmenities.Elevators_Flag,0.0003916899771341296
PoolFeatures.Fenced_Flag,0.00033479499919996677
AssociationAmenities.Pool_Flag,0.0003052747448509083
PoolFeatures.AboveGround_Flag,0.0002483163073044065
park adjacent_Flag,0.0002428796039028669
SpaFeatures.Private_Flag,0.00024115745217187954
lake front_Flag,0.00023287386759898637
sidewalks_Flag,0.0002104138344017246
irregular lot_Flag,0.00018345587896742484
PoolFeatures.Private_Flag,0.0001586544375838737
streetlights_Flag,0.00015085759936962537
CommunityFeatures.Playground_Flag,0.0001181931195814854
CommunityFeatures.Park_Flag,0.00011781187989536351
AssociationAmenities.Playground_Flag,0.0001118544808779141
corner lot_Flag,0.00010732348843269428
AssociationAmenities.Park_Flag,9.968733616916962e-05
AssociationAmenities.TennisCourts_Flag,8.86935030952743e-05
PoolFeatures.PoolCover_Flag,7.455014352327227e-05
level_Flag,3.281074652302075e-05
Structure.NewConstructionYN,0.0
